Denumire,PretFMC,StocTKR,StocTKRM,RealimentareStoc
AcumulatorexternTellurSlim5000mAh,10,0,0,
AdaptorTellurAutoDualUSB(2.4A),6,0,9,
AdaptorTellurAutoDualUSB(3.1A),5,0,10,
AdaptorTellurReteaDualUSB(2.1A),6,1,0,
AllviewAllbookL,154,0,182,Necunoscut
"AsusGL553VD15.6"".i7-7700HQ2.8GHz6MB.8GB.1TB7200RPM.GTX1050Ti-4GB.GL553VD-FY009",797,23,0,
"AsusNEREUSCarryBagfor16"".trollersupport.black.90-XB4000BA00010",9,94,0,
ASUSS1PortableLEDProjector.200lumens.Built-in6000mAhbattery,279,6,0,
BateryMotionSensor,41,5,0,
BrataraFitnessALLVIEWAllwatchS.black,45,2,5,
C/CH2USBPorts5.4AQualcomm3.0,8,0,15,
C/CH3USBPorts8.4A(TypeC)Qualcomm3.0,12,3,0,
Cablu3in1Micro_usb&Lightning&TypeC,5,5,30,
CameraMonitor360,79,17,0,
CameraMonitorHD,80,0,0,
CascaBluetoothMorpheusZeal,46,1,0,
CascaBluetoothPlantronicsBackBeatSen,141,0,2,Necunoscut
CastiBluetoothAppleAirPodsMMEF2ZM/A,130,0,9,
CeasSmartwatchSamsungGearS3.Frontier.brataraactivasilicon.IP68.SM-R760NDAAROM,324,0,0,
ConnectedHomeHub,77,0,0,
DeskjetInkAdvantage3835All-in-One,44,905,0,Necunoscut
DesktopAsusK31CD-RO022D.i5-6400(2.7Ghz-3.3GHz.6MB)IntelHD.RAM4GBDDR4.HDD1TB.DOS,404,0,0,EOL-numairevine
Door&windowsensor,38,5,0,
FitnessTrackerUnderArmourBand,126,5,10,
H-FBluetoothAPOLLOblack,8,1,0,
H-FBluetoothAPOLLOwhite,8,3,13,
H-FBluetoothATHLETEblack,24,1,0,
H-FBluetoothATHLETEwhite,24,1,5,
H-FBluetoothPlantronicsExplorer115,40,0,29,
H-FBluetoothPlantronicsExplorer50,19,0,30,
H-FBluetoothPlantronicsM55,21,0,0,Necunoscut
H-FBluetoothPlantronicsML15,12,0,32,
HIDOmnikey3821,57,42,0,
HotelTV32.HD.HG32ED450SWXEN,256,350,0,EOL-numairevine
HuaweiWatchW2CarbonBlackSport,216,0,0,
HuaweiWatchW2CarbonGreySport,216,0,1,
"InteractivEDUBasicLightSONY87""",760,0,0,
"InteractivEDUBasicPremPanasST83""","1,213",0,0,
"InteractivEDUProfInfocusST94""","1,436",0,0,
"InteractivEDUProfPanasonic101""","1,545",0,0,
"InteractivEDUProfSONYUST83""","1,385",0,0,
InterfataGSMcufaxXSJackT3E,148,0,0,EOL-numairevine
iPhone664gbSpaceGrey,599,0,22,EOL-numairevine
KEYBOARD+MOUSEWRLOPT.W3000ENGBLA90-XB2400KM00030ASUS,15,0,0,
LaptopAcerEX2519-C068CeleronN3060,240,0,0,
LaptopAcerEX2540-38M8Corei36006u,433,0,2,
LaptopAcerTMP259G2M56Q7i5-7200U,679,0,10,
LaptopAcerTMP259G2MG78DHi7-7500U,788,0,0,
LaptopAcerTMP259M38S5i3-6006UWin10,604,0,54,
"LaptopAsusGL753VE17.3""LEDFHDAG.IntelCore i7-7700HQ.GL753VE-GC016?",872,16,0,
LaptopAsusP2540UA-DM0107T.i3.Win1064bitP2540UA-DM0107T,415,101,0,
"LaptopAsusP2540UA-DM0113R.i5.SATA256GSSD.15.6"".Win10",646,3,0,
"LaptopAsusProB9440UA-GV0050R.14""i7-7500U(2.7GHz-3.5GHz)HDGraph620.8GB SSD512GBWin10Pro","1,115",10,0,
LaptopAsusVivoBookMAXX541NA-GO008.15.6.CeleronN3350,200,0,0,
LaptopAsusVivoBookPro1515.6i7,787,9,0,
"LaptopASUSX541NA15.6""CeleronN3350",319,0,49,
"LaptopAsusX541UA15.6""LEDHDGlare.IntelCorei3-6006U.X541UA-GO1374",295,57,0,
"LaptopAsusZenbookFlipUX360UAK13.3""GlareTouch.i7-7500U2.7GHz4MB.8GB.256GBSSD.Win10Home.UX360UAK-C4232T",918,3,0,EOL-numairevine
"LaptopLenovoT460.i5-6200U.14.0""FullHD.8GB.SSD256GB.WIn10PRO.20FN003LRI","1,028",40,0,Necunoscut
"LaptopLenovoV310.i5.15.6""WIn10PRO.1TBHDD+128SSD.8Gb.DVD. WIn10PRO",618,182,0,Necunoscut
LaptopLenovoX1Carbon5.i7.8GB.SSD256.20HR002CRI,"1,616",33,0,
LeatherCaseiPhone7PlusRedMMYK2ZM/A,43,5,7,
LeatherCaseiPhone7RedMMY62ZM/A,40,5,5,
LKA-200-Telefonanalogic,12,0,0,Necunoscut
LKA-220C-TelefonanalogiccuCID,20,18,0,Necunoscut
M/PAcerZ530DualSimBlackFlipCover,105,35,0,EOL-numairevine
M/PAllviewA5readydualsimblack,42,45,360,EOL-numairevine
M/PAllviewD1Senior,24,26,32,Necunoscut
M/PAllviewE3Jump,132,7,29,EOL-numairevine
M/PAllviewL7dualsimblack,12,133,712,Necunoscut
M/PAllviewM9Connect,32,13,89,EOL-numairevine
M/PAllviewM9JoinBlack,26,4,55,EOL-numairevine
M/PAllviewM9jumpblackdual,48,22,0,Necunoscut
M/PAllviewM9Luna,24,124,268,EOL-numairevine
M/PAllviewP5Produalsimblack,55,2,0,EOL-numairevine
M/PAllviewP6energyliteblack,53,43,461,EOL-numairevine
M/PAllviewP7ProGreydualsim,92,29,61,Necunoscut
M/PAllviewP8emagicdarkgreydualsim,116,53,78,EOL-numairevine
M/PAllviewP8EnergyMinidualsimgrey,97,2,0,EOL-numairevine
M/PAllviewP9energylite2017black,145,9,34,Necunoscut
M/PAllviewP9energylite2017gold,145,4,12,Necunoscut
M/PAllviewP9energyminiblue,118,24,12,Necunoscut
M/PAllviewP9energyminimochagold,118,13,0,Necunoscut
M/PAllviewP9energymochagolddual,267,6,7,EOL-numairevine
M/PAllviewV2ViperIdualsimwhite,74,1,0,EOL-numairevine
M/PAllviewX2SoulLiteblack,97,1,0,EOL-numairevine
M/PAllviewX2SoulLitewhite,97,0,6,EOL-numairevine
M/PAllviewX3SoulLiteGold,116,6,8,EOL-numairevine
M/PAllviewX3SoulLiteGrey,116,4,22,EOL-numairevine
